"Work Type","Summary","Description","Work Item ID","Parent","Status","Priority","Phase","External ID","Tshirt Size","Story Points","Labels","Labels","Labels","Labels","Labels"
"Epic","[MB-E01] Foundation","Outcome
Maintainable, testable MoneyBuddy shell

Delivery phase
P0

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","1","","To Do","Highest","P0","MB-E01","","","moneybuddy","p0","epic","foundation",""
"Epic","[MB-E02] Financial profile","Outcome
Inputs needed for an explainable plan

Delivery phase
P1

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","2","","To Do","High","P1","MB-E02","","","moneybuddy","p1","epic","financial-profile",""
"Epic","[MB-E03] Cashflow engine","Outcome
Deterministic dated projection

Delivery phase
P1

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","3","","To Do","High","P1","MB-E03","","","moneybuddy","p1","epic","cashflow-engine",""
"Epic","[MB-E04] Calendar experience","Outcome
Understand money by day/pay period

Delivery phase
P1

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","4","","To Do","High","P1","MB-E04","","","moneybuddy","p1","epic","calendar-experience",""
"Epic","[MB-E05] Savings goals","Outcome
Create and manage targets

Delivery phase
P2

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","5","","To Do","Medium","P2","MB-E05","","","moneybuddy","p2","epic","savings-goals",""
"Epic","[MB-E06] Strategy modeling","Outcome
Safely compare routes to a goal

Delivery phase
P2

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","6","","To Do","Medium","P2","MB-E06","","","moneybuddy","p2","epic","strategy-modeling",""
"Epic","[MB-E07] Identity and persistence","Outcome
Secure cross-device plan ownership

Delivery phase
P3

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","7","","To Do","Medium","P3","MB-E07","","","moneybuddy","p3","epic","identity-and-persistence",""
"Epic","[MB-E08] Milestone journey","Outcome
Durable progress history and motivation

Delivery phase
P3

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","8","","To Do","Medium","P3","MB-E08","","","moneybuddy","p3","epic","milestone-journey",""
"Epic","[MB-E09] Bank connectivity","Outcome
Secure read-only institution data

Delivery phase
P4

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","9","","To Do","Low","P4","MB-E09","","","moneybuddy","p4","epic","bank-connectivity",""
"Epic","[MB-E10] Reconciliation","Outcome
Explain projected-versus-actual changes

Delivery phase
P4

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","10","","To Do","Low","P4","MB-E10","","","moneybuddy","p4","epic","reconciliation",""
"Epic","[MB-E11] Quality and release","Outcome
Secure, accessible, observable delivery

Delivery phase
P0–P5

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","11","","To Do","High","P0–P5","MB-E11","","","moneybuddy","p0-p5","epic","quality-and-release",""
"Epic","[MB-E12] Web readiness","Outcome
Proven reusable domain and contracts

Delivery phase
P5

Scope
This epic groups the MoneyBuddy work required to deliver the stated outcome. Child stories carry implementation-level acceptance criteria and inherit the shared Definition of Done.

Source
docs/epics_and_stories.md","12","","To Do","Lowest","P5","MB-E12","","","moneybuddy","p5","epic","web-readiness",""
"Story","[MB-001] Navigate the core app areas so I understand what MoneyBuddy offers","User story
As a user, I can navigate the core app areas so I understand what MoneyBuddy offers.

Acceptance criteria
- Today, Calendar, Goals, and appropriate Journey visibility.
- deep links resolve.
- back behavior works.

Shared completion criteria
- Tests are proportional to implementation risk.
- Accessibility and relevant loading, empty, error, offline, stale, and partial states are reviewed.
- Only synthetic financial data is used in fixtures, screenshots, and logs.
- Documentation and API contracts are updated and relevant CI checks pass.

Planning metadata
Phase: P0
Tshirt size: M
Parent epic: MB-E01 Foundation

Source
docs/epics_and_stories.md","101","1","To Do","Highest","P0","MB-001","M","5","moneybuddy","p0","mobile","navigation",""
"Story","[MB-002] Establish feature and domain boundaries so financial logic is not implemented in screens","User story
As a developer, I have feature and domain boundaries so financial logic is not implemented in screens.

Acceptance criteria
- Folder conventions documented.
- sample feature uses repository and domain interfaces.

Shared completion criteria
- Tests are proportional to implementation risk.
- Accessibility and relevant loading, empty, error, offline, stale, and partial states are reviewed.
- Only synthetic financial data is used in fixtures, screenshots, and logs.
- Documentation and API contracts are updated and relevant CI checks pass.

Planning metadata
Phase: P0
Tshirt size: M
Parent epic: MB-E01 Foundation

Source
docs/epics_and_stories.md","102","1","To Do","Highest","P0","MB-002","M","5","moneybuddy","p0","architecture","developer-experience",""
"Story","[MB-003] See consistent loading, empty, error, and offline patterns","User story
As a user, I see consistent loading, empty, error, and offline patterns.

Acceptance criteria
- Accessible common-state components exist and are demonstrated with fixtures.

Shared completion criteria
- Tests are proportional to implementation risk.
- Accessibility and relevant loading, empty, error, offline, stale, and partial states are reviewed.
- Only synthetic financial data is used in fixtures, screenshots, and logs.
- Documentation and API contracts are updated and relevant CI checks pass.

Planning metadata
Phase: P0
Tshirt size: M
Parent epic: MB-E01 Foundation

Source
docs/epics_and_stories.md","103","1","To Do","Highest","P0","MB-003","M","5","moneybuddy","p0","design-system","accessibility",""
"Story","[MB-004] Represent money and dates safely","User story
As a developer, I can represent money and dates safely.

Acceptance criteria
- Integer minor-unit and local-date helpers exist with boundary and serialization tests.

Shared completion criteria
- Tests are proportional to implementation risk.
- Accessibility and relevant loading, empty, error, offline, stale, and partial states are reviewed.
- Only synthetic financial data is used in fixtures, screenshots, and logs.
- Documentation and API contracts are updated and relevant CI checks pass.

Planning metadata
Phase: P0
Tshirt size: M
Parent epic: MB-E01 Foundation

Source
docs/epics_and_stories.md","104","1","To Do","Highest","P0","MB-004","M","5","moneybuddy","p0","domain","finance",""
"Story","[MB-005] Pull requests are protected by automated quality checks","User story
As a team, pull requests are protected by automated quality checks.

Acceptance criteria
- CI runs lint, format, types, tests, and Expo Doctor.
- failures block merge.

Shared completion criteria
- Tests are proportional to implementation risk.
- Accessibility and relevant loading, empty, error, offline, stale, and partial states are reviewed.
- Only synthetic financial data is used in fixtures, screenshots, and logs.
- Documentation and API contracts are updated and relevant CI checks pass.

Planning metadata
Phase: P0
Tshirt size: S
Parent epic: MB-E01 Foundation

Source
docs/epics_and_stories.md","105","1","To Do","Highest","P0","MB-005","S","2","moneybuddy","p0","ci","quality",""
"Story","[MB-006] Use realistic synthetic scenarios without real financial data","User story
As a tester, I can use realistic synthetic scenarios without real financial data.

Acceptance criteria
- Versioned fixtures cover regular, variable, low-surplus, and already-funded cases.

Shared completion criteria
- Tests are proportional to implementation risk.
- Accessibility and relevant loading, empty, error, offline, stale, and partial states are reviewed.
- Only synthetic financial data is used in fixtures, screenshots, and logs.
- Documentation and API contracts are updated and relevant CI checks pass.

Planning metadata
Phase: P0
Tshirt size: S
Parent epic: MB-E01 Foundation

Source
docs/epics_and_stories.md","106","1","To Do","Highest","P0","MB-006","S","2","moneybuddy","p0","testing","privacy",""
"Story","[MB-007] Decide which backend providers to implement","User story
As an engineer, I know which backend providers to implement.

Acceptance criteria
- ADRs resolve auth, database host, ORM, and initial API layout.

Shared completion criteria
- Tests are proportional to implementation risk.
- Accessibility and relevant loading, empty, error, offline, stale, and partial states are reviewed.
- Only synthetic financial data is used in fixtures, screenshots, and logs.
- Documentation and API contracts are updated and relevant CI checks pass.

Planning metadata
Phase: P0
Tshirt size: M
Parent epic: MB-E01 Foundation

Source
docs/epics_and_stories.md","107","1","To Do","Highest","P0","MB-007","M","5","moneybuddy","p0","architecture","decision",""
